"Time","last_payload {id: 03cfac713ddb}","last_payload {id: 05d4edb11ccc}","last_payload {id: 05e2dc4bab48}","last_payload {id: 12fe0edb1a22}","last_payload {id: 142e2512faa4}","last_payload {id: 15a356ee90d0}","last_payload {id: 163e8d73fac5}","last_payload {id: 166622bd256d}","last_payload {id: 187ae6236163}","last_payload {id: 1979919fbf0f}","last_payload {id: 2031a9936382}","last_payload {id: 22e7a6017802}","last_payload {id: 28044ba4a7ad}","last_payload {id: 30b396f84a51}","last_payload {id: 313b8f5d58f6}","last_payload {id: 3bfa9412b3ac}","last_payload {id: 3d1d30a896da}","last_payload {id: 3f2ea48c60e7}","last_payload {id: 44f61de09fce}","last_payload {id: 452cf0ed41fe}","last_payload {id: 45e6d34f3c90}","last_payload {id: 4da229ff9647}","last_payload {id: 50242d33e417}","last_payload {id: 507aa07cb3f4}","last_payload {id: 534f7ede4add}","last_payload {id: 6024efb8fa75}","last_payload {id: 64028b5fe4a9}","last_payload {id: 6fd3deb2ffa9}","last_payload {id: 750c1c44fa91}","last_payload {id: 79f51af621c3}","last_payload {id: 7e1362b171c6}","last_payload {id: 7e650620618f}","last_payload {id: a54271c49348}","last_payload {id: ac0c887de21e}","last_payload {id: ad93e254a539}","last_payload {id: b049c32b2cc4}","last_payload {id: b1d55b931020}","last_payload {id: b63b699c8207}","last_payload {id: bec16363de34}","last_payload {id: c0dfc0337d50}","last_payload {id: cb8816b39dc5}","last_payload {id: cbacbdd4ead4}","last_payload {id: d665d2bb7bd6}","last_payload {id: dd3871aa1c44}","last_payload {id: e25b10447cf0}","last_payload {id: e623c5f5dc60}","last_payload {id: e6f7c1e58817}","last_payload {id: e8ca08072d74}","last_payload {id: f86b4d7f6332}","last_payload {id: fb4d19ff5398}"
1592771048000,2312,,,,,2847,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,
1592771053000,2312,,,,,2847,,,,,,,,,,,2853,2292,2309,,,,,,,,,,,,,,,2305,,,,,2309,,,,,,,,,,,
1592771058000,2312,,,,,2847,,,,,,,,,,,2853,2292,2309,,,,,,,,,,,,,,,2305,,,,,2309,,,,,,,,,,,
1592771063000,2312,,,,2851,2847,2847,,,,,,,,2293,,2853,2292,2309,,,,,,,,,,,,,,,2305,,,2295,,,,,,,,,,,2305,,
1592771068000,2312,,,,2851,2847,2847,,,,,,,,,,2853,2292,2309,,,,,,,,,,,,,,,2305,,,2295,,,,,,,,,,,,,
1592771073000,2312,,2948,2309,2851,2847,5367,,,2947,,,,4602,2293,,3570,2292,,2309,,,,,4990,,,,,,,,2954,2305,,,2295,,,,,,,,,,,2305,2296,4654
1592771079000,2312,,,,,2847,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,,,,2309,,,,,,,4146,,,,
1592771084000,2312,,,,,2847,,,,,,,,,,,,2292,2309,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,
1592771089000,2312,,2948,,2851,2847,5367,,,2947,,,,4602,2293,,3570,2292,2309,,,,,,,,,,,,,,2954,2305,,,2295,,2309,,,,,,,,,,,
1592771094000,2312,,,,,2847,5367,,,,,,,,,,3570,2292,2309,,,,,,,,,,,,,,2954,2305,,,,,,,,,,,,,,,,
1592771099000,2312,,2948,,2851,2305,5367,,,,,,,,2293,,3570,2292,2309,,,,,,,,,,,,,,2954,2305,,,2295,,,,,,,,,,,,,
1592771108000,3213,,,,,2305,,,,,,,,,,,1696,2292,2312,,,,,,,,,,,,,,,2305,,,,,2312,,,2851,,,,,,,,
1592771110000,3213,,5380,2296,2295,2305,2847,,,7174,,,,6645,2296,,1696,2292,2312,,,,,,18618,,,,,,,,12027,2305,,,2309,,2312,,,2851,,,,,,2292,,5473
1592771116000,3213,,,,,6558,,,,,,5880,,,,,,,2312,,29703,,1704,,,,,7283,,2309,,,,,,,,,2312,6645,3557,2295,,,,2851,,,,
1592771124000,2312,,,,,,,,,,,,,,,,2853,7271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771128000,2312,,5380,2309,2851,,1696,,,7174,,5880,,6645,2293,,2853,11011,2309,2309,29703,,2823,,25091,,,,,2851,,,53750,10979,,,2295,,2309,,,2851,,,,2851,,12027,,53750
1592771130000,2312,,5380,2309,2851,,1696,,,7174,,,,6645,2293,,2853,18602,2309,2309,,,,,25091,,,,,,,,53750,,,,2295,,,,,,,,,,,18618,2296,53750
1592771135000,2312,,5380,2309,2851,,1696,,,7174,,,2309,6645,2293,,2853,18602,,2309,,,,,25091,,,,,,,,53750,,,,2295,1697,,,,,3184,,,,,25091,2296,53750
1592771142000,2312,,,,,,1696,,,,,,,,,,2853,18602,2309,,,,2823,,,,,,,,,,,29703,,,,1697,2309,,,2851,,,,,,,,
1592771146000,2312,,5380,2309,2851,,1696,,,7174,,,,6645,2293,,2853,29703,2309,2309,,,,,25091,,,,,,,,53750,,,,2295,1697,2309,,,,3184,,,,,25091,2296,53750
1592771157000,2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771164000,2292,,,,,,,,,,,,,,,,,,2305,,,,3557,,,,,,,,,,,,,,,9341,2307,,,2851,,,,2851,,,,
1592771169000,2292,,,,,,,,,,,2945,,,,,,11011,,,2960,,3557,,,,,4088,,4984,,,,,,,,,2307,,,2851,,,,2851,,,,
1592771175000,2292,,,,,2847,,,,,,,,,,,,,,,,,,,,,3555,,,,,,,,,,,,,,,,,,,,,,,
1592771184000,2292,11011,,,,,,,,,2292,,2305,,,3172,,,,,,2851,,2312,,,12027,,4115,,,4978,,13018,2292,2309,,,,9730,,,2847,3557,10891,,7465,10979,,4132
1592771192000,2292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53750,,,,,
1592771239000,7465,,,,,,3556,,,,,,,,,2847,,,9323,,,,,,,,,,,,,,,,,,,,15822,2847,,,,,,,,,,
1592771251000,7465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771253000,7465,,,,,,,,,,10891,,29703,,,,40582,,,,,,,,,,,,2853,,,14212,,,2847,,,,,,,,,,9358,,12027,,1704,
1592771264000,7465,,25091,,,,,,,4660,,,,53750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770985000,,2292,,2309,2851,,1696,,,,,,,,2293,,,,,2309,,,2823,,,2851,,2851,,2851,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592770990000,,2292,,2309,2851,,1696,,,,,,,,2293,,,,,2309,,,2823,,,2851,,2851,2851,2851,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592770995000,,2292,,2309,2851,,,,,,,,,,2293,,,,,2309,,,2823,,,2851,,2851,2851,2851,2295,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771000000,,2292,,2309,,,,,,,,,,,2293,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,2305,2296,
1592771005000,,2292,,2309,,,,,,,,,,,,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,2305,2296,
1592771010000,,2292,,,,,,,,,,,,,,,,,,,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,,,
1592771016000,,2292,,2309,2851,,1696,,,,,,,,2293,,2853,,,2309,,,2823,,,2851,,,,2851,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771021000,,2292,,2309,2851,,1696,,,,,,,,2293,,,,,2309,,,2823,,,2851,,,,2851,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771026000,,2292,,2309,2851,,,,,,,,,,2293,,,,,2309,,,2823,,,2851,,,2851,2851,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771031000,,2292,,2309,,,,,,,,,,,2293,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771036000,,2292,,2309,,,,,2309,,,,,,,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,,2296,
1592771041000,,2292,,,,,,,2309,,,,,,,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,,2296,
1592771046000,,2292,,,,,,,2309,,,,,,,,,,,,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,,,,,,,,
1592771052000,,2292,,2309,2851,,2847,,,,,,,,2293,,,,,2309,,,2823,,,2851,,,,,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771057000,,2292,,2309,2851,,2847,,,,,,,,2293,,,,,2309,,,2823,,,2851,,,2851,,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771062000,,2292,,2309,,,,,,,,,,,,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,,2296,
1592771067000,,2292,,2309,,,,,2309,,,,,,2293,,,,,2309,,,2823,,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,2305,2296,
1592771072000,,2292,,,,,,,2309,,,,,,,,,,,,,,2823,4118,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,,,
1592771077000,,2292,,,,,,,2309,,,,,,,,,,,,,,2823,4118,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,,,
1592771082000,,2292,,,,,,,2309,,,,,,,,,,,,,,,4118,,,,,2851,,2295,,,,2312,2309,,,,,,,,,,,,,,
1592771088000,,2292,,2309,,,,,,,,,,,,,,,,2309,,,2823,4118,4990,2851,,,,,,,,,,,,,,,,,3184,2296,,,,2305,2296,4654
1592771093000,,2292,2948,2309,2851,,,,,2947,,,,4602,2293,,,,,2309,,,2823,4118,4990,2851,,,2851,,,,,,,,2295,,,,,,3184,2296,,,,2305,2296,4654
1592771098000,,3172,,2309,,,,,2309,2947,,,,4602,,,,,,2309,,,2823,4118,4990,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,,,,2292,2296,4654
1592771106000,,3172,,,,,,,2305,,,,2851,,,,,,,,,2851,2309,5339,,2295,,,2309,,2309,,,,,,,,,,,,2851,2851,,,6892,,,
1592771109000,,3172,,,,,,2823,2305,,1697,5880,2851,,,2881,,,,2823,29703,2851,,10891,,2295,2847,2293,2309,2309,2309,3172,,,2853,1704,,2853,,2309,2292,,2851,2851,,25091,7465,,3184,
1592771113000,,13018,,,,,,,11011,,1696,,,,,4660,,,,,,,,,,2853,,,2309,,6580,,,,2881,7249,,4654,,,,,,,2307,,7465,,,
1592771122000,,8427,,,,,,,,,,,2309,,,,,,,,,2851,,10891,,2851,,,2851,,2295,,,,,,,,,,,,3184,2296,2823,,7465,,,
1592771127000,,10891,,,,,,2881,9358,,3213,,2309,,,1704,,,,,,2851,,10891,,2851,2853,,2851,,2295,13018,,,2312,2309,,1697,,,,,3184,2296,2823,,7465,,2296,
1592771129000,,10891,,,,,,2881,9358,,3213,,2309,,,1704,,,,,,2851,,10891,,2851,2853,2851,2851,,2295,13018,,,2312,2309,,1697,,2847,7283,,3184,2296,2823,,7465,,,
1592771134000,,10891,,,,,,,9358,,,,,,,,,,,,,2851,,10891,,2851,,,2851,,2295,,,,,,,,,,,,,2296,2823,,7465,,,
1592771140000,,10891,,,,,,,,,,,2309,,,,,,,,,2851,,10891,,2851,,,,,,,,,,,,,,,,,3184,2296,,,,,2296,
1592771145000,,25091,,,,,,,,,,,2309,,,,,,,,,2851,,10891,,2851,,,2851,,2295,,,,,,,,,,,,,2296,,,7465,,,
1592771153000,,29703,,,,,,,9045,,,,2309,,,,,,,,,2851,,10891,,6249,,,8481,,,,,,,,,,,,,,7270,14371,,,7465,,16094,
1592771159000,,29703,,2853,,2847,,2881,,,2292,2309,2312,,,3172,,,,,,2851,,3184,,,18141,2309,2847,3213,,29703,,29703,2305,2309,,,,9730,9760,,2853,1696,9084,,7465,11211,1697,2295
1592771166000,,10979,,,,2847,,2881,,,2292,,4105,,,3172,,,,,,2851,,2312,,,18141,,10891,,,15822,,,2305,2309,,,,9730,9760,,,,9084,,7465,,,
1592771172000,,3172,,,,,,2881,,,2292,,,,,3172,,,,,,2851,,,,,,,4115,,,4978,,,2292,2309,,,,,,,,,3172,,7465,,,
1592771178000,,3172,,,,,,,,,,,2305,,,,,,,,,2851,,2312,,,,,4115,,,,,,,,,,,,,,2847,3557,,,7465,,,
1592771193000,,6019,,,,,,,,,,,2305,,,,,,,,,,,2312,,,,,4115,,,,,9272,2292,,,,,,,,,3557,,,7465,,,
1592771223000,,2292,,,,,,,,,,,,,2312,,,,,2853,,,,,2851,1696,,,,,,,18618,,,,2312,,,,,,,,,,,,,
1592771238000,,13345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558,,,,,,,,,,,,
1592771249000,,13345,,,,,3556,,,4660,,,,,,,,7271,9323,,,,,,,13345,,9078,,,,,,11011,,,,3558,15822,,,,,,,,,,,
1592771257000,,13345,,,,,,,,,,,,,,,,,,,,,,,,13345,,,,12790,,,,,,,,,,,,,,,,,,,,
1592771320000,,3570,,,,,,,,,,,,,,,,,,,,,,,,,,,2851,,,,,,,,,,,,,,,,,,,,,
1592771078000,,,2948,2309,2851,,5367,,,2947,,,,4602,2293,,3570,2292,,2309,,,,,4990,,,,,,,,2954,2305,,,2295,,,,,,,,,,,2305,2296,4654
1592771083000,,,2948,2309,2851,,5367,,,2947,,,,4602,2293,,3570,,,2309,,,2823,,4990,2851,,,,,,,2954,2305,,,2295,,,,,,3184,2296,,,,2305,2296,4654
1592771107000,,,5380,2296,2295,,2847,,,4840,,,,5101,2296,,,,,2823,,,,,5727,,,,,,,,5353,,,,2309,,,,,,,,,,,2292,3184,6571
1592771114000,,,5380,51943,,,,,,7174,,,2309,,,,,,,2312,,2851,,10891,25091,,,,,,,,,,,,,,,,,,2851,2851,,,,7271,3184,5473
1592771123000,,,5380,2309,2851,,1696,,,7174,,,,6645,2293,,,,,2309,,,,,25091,,,,,,,,53750,,,,2295,,,,,,,,,,,7249,2296,53750
1592771141000,,,5380,2309,2851,,,,,7174,,,,6645,2293,,,,,2309,,,,,25091,,,,,,,,53750,,,,2295,,,,,,,,,,,25091,,53750
1592771154000,,,5380,6564,4105,,,,,7174,,,,6645,24603,,,,,5464,,,,,25091,,,,,,5921,,,,,,2295,,,,,,,,,,,11211,,53750
1592771161000,,,2823,,,,,,,,,,,6645,,,,,,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771167000,,,5017,4086,4099,,,,,3510,,,,6645,4099,,,,,4112,,,,,4660,12027,,,,,,,2309,,,,2295,,,,,,3556,3557,,,,11211,4116,4132
1592771173000,,,5017,4086,2853,,,,,20094,,,2305,6645,4099,,,,,2847,,,,2312,4660,2309,,,,,,,2309,,,,2295,,,,,,2847,3557,,,,11211,2823,4132
1592771181000,,,5017,,2853,,,,,,,,,,4099,,,,,,,,,,,,,,,,,,,,,,2295,,,,,,,,,,,,,
1592771186000,,,5017,,2853,,,,,,,,,,4099,,,,,,,,,,,,,,,,,,2309,,,,2295,,,,,,,,,,,,2823,
1592771196000,,,5017,,,,,,,,,,,6645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771224000,,,18602,,,,,1696,,4660,,,,2293,,,,,,,,,,,,,,,,,,,,,,,,,,2847,,,,,,,,,,
1592771236000,,,9358,,,,,,,,,,,5367,,,,,,,,,,,,,,9078,,,,,,,,,,,,,,,,,,,,,,
1592771248000,,,9358,,,,,,,,,,,5367,,,,,,,,,,,,,,,,,4948,,,,,,,,,,,,,,,,,,,
1592771254000,,,25091,3213,,,,,,,,,,53750,11104,,,,,,,,,5476,2851,,,,,,,,9287,,,,2312,,,,,,2881,7174,,,,11011,,8427
1592771011000,,,,2309,2851,,1696,,,,,,,,2293,,2853,2292,,2309,,,,,,,,,,2851,,,,18618,,,2295,,,,,,,,,,,2305,2296,
1592771047000,,,,2309,2851,,1696,,,,,,,,2293,,2853,2292,,2309,,,,,,,,,,,,,,2305,,,2295,,,,,,3184,2296,,,,2305,2296,
1592771179000,,,,4086,,,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,,,,,,11211,,4132
1592771185000,,,,4086,,,,,,,,,,6645,,,,,,2847,,,,,4660,2309,,,,,,,,,,,,,,,,,,,,,,,,
1592771194000,,,,4086,,,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,4824,,,,,24163,,4132
1592771220000,,,,3213,,,,,,,,,2295,,,,,,,,,,,53750,,,,,2853,,,,,,,,,,,,,,,1697,,,2296,2305,,
1592771234000,,,,3213,,,,,,,,,9322,,,,,,,,,,,5476,,,,,2853,,4948,,,,,,,,,,,,2881,7174,9358,,12027,10891,,8427
1592771245000,,,,3213,5473,,,,18602,,,,,,,,,,,,,,,5476,,,,,,,,,,,,,,,,,,,2881,7174,,,,11011,,8427
1592771259000,,,,3213,,,,,,,,,29703,,,2847,40582,,,,,3184,,,,,3557,,2853,,,14212,,,2847,4654,,,,,2307,,,,9358,,12027,,1704,
1592771322000,,,,2309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771328000,,,,2823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771001000,,,,,2851,2847,1696,,,,,,,,,,2853,2292,2309,,,,,,,,,2851,,2851,,,,2305,,,2295,,,,,,,,,,,,,
1592771115000,,,,,2312,,2847,,,,,,,6645,2309,,10979,2292,,,,,,,,,,,,,,,12027,2305,,,2312,,,,,,,,,,,,,
1592771162000,,,,,2312,,,,,,,,,,1704,,,,,,,,,,,,,,,,,,,,,,2295,,,,,,,,,,,,,
1592771195000,,,,,5407,,,,,,,,,,,,,,,5919,,,,,4747,,,,,,,,,,,,,,,,,,,,,,,,,
1592771225000,,,,,2312,,,,,,,,,,,,8925,,,,,,,,,,,,,,,,,,,,,3558,,,,,,,,,,,,
1592771233000,,,,,5473,,,,18602,,,,,,,,,,,,,,,,,,,,,,,11104,,,,,,,,,,,,,,,,,,
1592771255000,,,,,5473,,3556,,18602,4660,,7249,,,,,,,9323,14925,,,,,,,,9078,,,4948,,,,,,,3558,,,,2296,,,,3184,,,,
1592771265000,,,,,5473,,3556,,18602,,,7249,,,,,,,9323,,,,,,,,,9078,,,4948,,,,,,,,,,,2296,,,,3184,,,,
1592770986000,,,,,,2847,,,,,,,,,,,2853,,2309,,,,,,,,,,,,,,,2305,,,,,2309,,,,,,,,,,,
1592770991000,,,,,,2847,,,,,,,,,,,2853,,2309,,,,,,,,,,,,,,,2305,,,,,,,,,,,,,,,,
1592770996000,,,,,,2847,1696,,,,,,,,,,2853,,2309,,,,,,,,,,,,,,,2305,,,,,,,,,,,,,,,,
1592771043000,,,,,,2847,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,,,,,,2309,,,,,,,,,,,
1592771125000,,,,,,2847,,,,,,,,,,,,,2309,,,,,,,,,,,,,,,9322,,,,,,,,,,,,,,,,
1592771132000,,,,,,2847,,,,,,,,,,,,,,,,,,,,,2853,,,,,,,,,,,,,2847,7283,,,,,,,,,
1592771137000,,,,,,2847,,,,,,,,,,,,,,,,,,,,,2853,2851,,2851,,,,,,,,,,2847,7283,,,,,,,,,
1592771143000,,,,,,2847,,2881,,,3213,5880,,,,1704,,,,,29703,,,,,,2853,2851,,2851,,53750,,,,,,,,2847,7283,,,,,2851,,,,
1592771148000,,,,,,2847,,2881,,,,,,,,,,,,,,,,,,,18141,,,,,29703,,,,,,,,,,,,,,,,,,
1592771171000,,,,,,2847,,,,,,,,,,,,,,,,,,,,,5379,,,,,,,3172,,,,,,9730,,,,,,,,,,
1592771183000,,,,,,2847,10606,,,,,2945,,,,,,11011,2292,,2960,,16787,,,,,4088,,4984,,,,,,,,,14312,,9760,2851,,,,2851,,,,
1592771189000,,,,,,2847,,,,,,,,,,,,,,,,,,,,,4838,5356,,,,,,,,,,,,,,,,,,,,,,
1592771240000,,,,,,2847,,1696,,,,7249,,,,,31510,,,14925,2296,,3213,,,,3557,,,12790,,,,,,,,,,,,2296,,,,3184,,,,
1592771258000,,,,,,2847,,1696,,,,,,,,,,,,,,,,,,,,,,,,,,11011,,,,,,2847,,,,,,,,,,
1592771155000,,,,,,,10606,,,,,,,,,,,,,,,,,,,,,,,,,,53750,,,,,,,,,,,,,,,,,
1592771163000,,,,,,,10606,,9045,,,,,,,,2853,,,,,,,,,,,,,,2309,,2296,,,,,,,,,,,,,,,,,
1592771168000,,,,,,,10606,,9045,,,,,,,,2853,,10686,,,,,,,,,,,,2309,,,,,,,9341,,,,,,,,,,,,
1592771174000,,,,,,,10606,,9045,,,2945,,,,,2853,11011,2292,,2960,,15535,,,,,4088,,4984,2309,,,,,,,9341,14312,,9760,2851,,,,2851,,,,
1592771187000,,,,,,,10606,,7176,49129,,,,,,,2853,,2292,,,,,,,,,,,,2309,,,,,,,9341,14312,,,,,,,,,,,
1592771207000,,,,,,,1696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592771226000,,,,,,,3556,,,,,,,,,,,,9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592770983000,,,,,,,,2881,,,,,,,,,,,,,,,,,,,2853,,,,,3172,,,,,,1697,,,,,,,,,,,,
1592770988000,,,,,,,,2881,,,,,,,,,,,,,,,,,,,2853,,,,,3172,,,,,,,,,,,,,2823,,,,,
1592770993000,,,,,,,,2881,,,,,,,,,,,,,,,,,,,2853,,,,,3172,,,,,,,,,2307,,,,2823,,,,,
1592771004000,,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,,,,,,3172,,,2312,2309,,1697,,,,,,,,,,,,
1592771009000,,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,2853,,,,,18602,,,2312,2309,,1697,,,,,,,,,,,,
1592771014000,,,,,,,,2881,,,,,,,,1704,,,,,,,,,,,2853,,,,,3172,,,,,,1697,,,,,,,,,,,,
1592771019000,,,,,,,,2881,,,,,,,,,,,,,,,,,,,2853,,,,,3172,,,,,,1697,,,,,,,2823,,,,,
1592771024000,,,,,,,,2881,,,,,,,,,,,,,,,,,,,2853,,,,,3172,,,,,,,,,,,,,2823,,,,,
1592771030000,,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,,,,,,,,,2312,2309,,1697,,,,,,,,,,,,
1592771035000,,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,,,,,,3172,,,2312,2309,,1697,,,,,,,,,,,,
1592771040000,,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,,,,,,3172,,,2312,2309,,1697,,,,,,,,,,,,
1592771045000,,,,,,,,2881,,,3213,,,,,1704,,,,,,,,,,,2853,,,,,3172,,,2312,2309,,1697,,,,,,,,,,,,
1592771050000,,,,,,,,2881,,,,,,,,1704,,,,,,,,,,,2853,,,,,3172,,,,,,1697,,,,,,,,,,,,
1592771055000,,,,,,,,2847,,,,,,,,,,,,,,,,,,,2307,,,,,3172,,,,,,2823,,,,,,,2823,,,,,
1592771060000,,,,,,,,2847,,,,,,,,,,,,,,,,,,,2307,,,,,3172,,,,,,,,,,,,,2823,,,,,
1592771066000,,,,,,,,2847,,,3213,,,,,1696,,,,,,,,,,,,,,,,,,,2312,2309,,2823,,,,,,,,,,,,
1592771071000,,,,,,,,2847,,,3213,,,,,1696,,,,,,,,,,,,,,,,3172,,,2312,2309,,2823,,,,,,,,,,,,
1592771076000,,,,,,,,5377,,,3213,,,,,3560,,,,,,,,,,,,,,,,3172,,,2312,2309,,5367,,,,,,,,,,,,
1592771081000,,,,,,,,5377,,,3213,,,,,3560,,,,,,,,,,,6584,,,,,3172,,,,,,5367,,,,,,,,,,,,
1592771086000,,,,,,,,5377,,,,,,,,,,,,,,,,,,,6584,,,,,3172,,,,,,5367,,,,,,,,,,,,
1592771091000,,,,,,,,5377,,,,,,,,,,,,,,,,,,,6584,,,,,3172,,,,,,,,,,,,,2823,,,,,
1592771097000,,,,,,,,5377,,,3213,,,,,3560,,,,,,,,,,,,,,,,,,,2312,2309,,5367,,,,,,,,,,,,
1592771103000,,,,,,,,2823,,,,,,,,,,,,,,,,,,,2847,,,,,3172,,,,,,,,,,,,,,,,,,
